Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Year_lastUpdated,Current Ver,Android Ver
FAMILY,3.3,1218,1,100000,Free,0,Everyone,2012,yes,yes
AUTO_AND_VEHICLES,3.2,250,1.1,100000,Free,0,Everyone,2018,yes,yes
SHOPPING,4.4,2375,1.1,100000,Free,0,Everyone,2016,yes,yes
PERSONALIZATION,4.7,229,1.1,500000,Free,0,Everyone,2018,yes,yes
FAMILY,4.3,36,1.1,5000,Free,0,Everyone,2017,yes,yes
FAMILY,3.9,1455,1.1,10000,Free,0,Everyone,2017,yes,yes
PHOTOGRAPHY,3.7,1213,1.1,500000,Free,0,Everyone,2018,yes,yes
PERSONALIZATION,4.2,279,1.1,10000,Free,0,Everyone,2013,yes,yes
TOOLS,3.9,333,1.1,100000,Free,0,Everyone,2016,yes,yes
TOOLS,3.9,71,1.1,10000,Free,0,Everyone,2016,yes,yes
PERSONALIZATION,4.5,3989,1.1,100000,Free,0,Everyone,2015,yes,yes
FAMILY,4.3,99,1.1,10000,Free,0,Everyone,2013,yes,yes
FAMILY,3.8,5,1.1,500,Free,0,Everyone,2018,yes,yes
GAME,4,387,1.1,50000,Free,0,Everyone,2011,yes,yes
SHOPPING,3.7,668,1.1,100000,Free,0,Everyone,2018,yes,yes
SHOPPING,3.6,38,1.1,10000,Free,0,Everyone,2018,yes,yes
SHOPPING,5,1,1.1,10,Free,0,Everyone,2018,yes,yes
SPORTS,4.5,177,1.1,10000,Free,0,Everyone,2015,yes,yes
COMMUNICATION,4.6,8,1.1,1000,Free,0,Everyone,2018,yes,yes
WEATHER,4.2,2115,1.1,500000,Free,0,Everyone,2014,yes,yes
TOOLS,4,710,1.1,100000,Free,0,Everyone,2018,yes,yes
ART_AND_DESIGN,3.8,2206,1.2,100000,Free,0,Everyone,2018,yes,yes
EDUCATION,4,2525,1.2,100000,Free,0,Everyone,2015,yes,yes
MEDICAL,2.8,66,1.2,50000,Free,0,Everyone,2016,yes,yes
PRODUCTIVITY,4.4,41418,1.2,1000000,Free,0,Everyone,2016,yes,yes
PRODUCTIVITY,4.5,107,1.2,50000,Free,0,Everyone,2015,yes,yes
MEDICAL,2.4,102,1.2,10000,Free,0,Everyone,2017,yes,yes
FAMILY,3.8,949,1.2,50000,Free,0,Everyone,2018,yes,yes
MEDICAL,4.2,8,1.2,500,Free,0,Everyone,2016,yes,yes
SOCIAL,5,20,1.2,100,Free,0,Teen,2016,yes,yes
PRODUCTIVITY,3.6,26,1.2,5000,Free,0,Everyone,2015,yes,yes
FAMILY,5,2,1.2,500,Free,0,Everyone,2016,yes,yes
TOOLS,4.6,262076,1.2,10000000,Free,0,Everyone,2018,yes,yes
TOOLS,4,1,1.2,100,Free,0,Everyone,2018,yes,yes
SHOPPING,3,4,1.2,1000,Free,0,Everyone,2018,yes,yes
FAMILY,4.4,152,1.2,10000,Free,0,Everyone,2015,yes,yes
PRODUCTIVITY,4.2,14428,1.2,1000000,Free,0,Everyone,2015,yes,yes
FAMILY,4.7,13,1.2,500,Free,0,Everyone,2016,yes,yes
PRODUCTIVITY,3.5,626,1.2,100000,Free,0,Everyone,2015,yes,yes
WEATHER,4.2,6849,1.2,1000000,Free,0,Everyone,2014,yes,yes
FAMILY,3.4,16,1.2,500,Free,0,Everyone,2016,yes,yes
TOOLS,3.8,5431,1.3,10000000,Free,0,Everyone,2017,yes,yes
PRODUCTIVITY,4.2,58675,1.3,10000000,Free,0,Everyone,2018,yes,yes
TOOLS,4.2,184,1.3,10000,Free,0,Everyone,2017,yes,yes
SHOPPING,4.7,13,1.3,500,Free,0,Everyone,2017,yes,yes
FAMILY,2.9,45,1.3,5000,Free,0,Everyone,2015,yes,yes
HEALTH_AND_FITNESS,2.8,961,1.3,100000,Free,0,Everyone,2018,yes,yes
GAME,4.1,13304,1.3,1000000,Free,0,Everyone,2016,yes,yes
GAME,4.6,547,1.3,10000,Free,0,Everyone,2015,yes,yes
GAME,4.1,64,1.3,5000,Free,0,Everyone,2013,yes,yes
VIDEO_PLAYERS,4.2,4074,1.3,500000,Free,0,Everyone,2013,yes,yes
SHOPPING,4,119,1.3,10000,Free,0,Everyone,2017,yes,yes
BUSINESS,2.7,7,1.3,1000,Free,0,Everyone,2016,yes,yes
LIFESTYLE,5,2,1.3,100,Free,0,Everyone,2017,yes,yes
TOOLS,3.3,16,1.3,10000,Free,0,Everyone,2016,yes,yes
MAPS_AND_NAVIGATION,3.4,59,1.3,10000,Free,0,Everyone,2015,yes,yes
SHOPPING,3,2,1.3,100,Free,0,Everyone,2018,yes,yes
VIDEO_PLAYERS,3.7,321,1.3,50000,Free,0,Everyone,2017,yes,yes
FAMILY,4.6,13,1.3,1000,Free,0,Everyone,2016,yes,yes
FAMILY,5,18,1.3,50,Free,0,Everyone,2018,yes,yes
TOOLS,3.7,6,1.3,1000,Free,0,Everyone,2015,yes,yes
SOCIAL,4.1,34079,1.3,1000000,Free,0,Teen,2017,yes,yes
TOOLS,4.3,9716,1.3,1000000,Free,0,Everyone,2018,yes,yes
SOCIAL,4.1,260,1.3,10000,Free,0,Teen,2018,yes,yes
DATING,3,1146,1.4,100000,Free,0,Mature 17+,2016,yes,yes
FINANCE,4.1,13868,1.4,1000000,Free,0,Everyone,2017,yes,yes
LIFESTYLE,4.6,2167,1.4,500000,Free,0,Everyone,2018,yes,yes
BUSINESS,4.2,127,1.4,10000,Free,0,Everyone,2016,yes,yes
TOOLS,4.2,2803,1.4,100000,Free,0,Everyone,2017,yes,yes
TOOLS,4.5,295430,1.4,10000000,Free,0,Everyone,2018,yes,yes
